Answer_text,Question_id,Student_score_on_question,Student_choice_on_question,Quiz_score,Average_quizzes_score
it's not deliberate practice,1,0,B,6,7.8
"Even without deliberate practice, Rajeev could improve his skill by practice. If his skill doesn't improve at all, that is not a problem of deliberate practice, it's a problem that he didn't practice the same skill every day. He is not practicing a specific skill (draw the eye of the portrait). Although the lack of feedback is also important, it's more important to focus on the same practice)",1,0,B,8.5,8
"The task of creating a portrait is a complex one and should be studied step by step rather than in full. Hence, Rajeev should identify what parts of the portrait are problematic and practice them regularly instead of drawing new full portrait every day.",1,0,B,8,8.1
"lack of deliberate practice, to say, always practice a general and broad task set without pinpointing where exactly is not good.",1,0,B,6.75,6.7
"It's not specific enough. Portraiture could be considered the whole task - there are specific techniques that Rajeev should focus on improving before practicing combining into the whole portrait. (Compare to practicing a putt in golf, not all of golf)",1,1,A,6,6.8
"People generally can't improve to a higher level without some figure telling them what that higher level is/looks like. For all we know, Rajeev is drawing stick figures and thinks them pretty good. He needs someone/something to evaluate him and tell him what parts of his portrait need improving on so that he can practice those particular aspects.",1,1,A,6.75,7.2
"First, the instruction of practice might not be the best; Second, he didn't have a teacher monitor his practice; Last, he didn't have informative feedback and remedial training.",1,1,A,7,7.6
"Despite doing so much practice, there is no one to give Rajeev feedback on his errors and remedial training based on that feedback. So while Rajeev is practicing a lot, he is not doing deliberate practice which focuses on correcting his errors and then improving his skill.",1,1,A,7,6.4
Rajeev needs expert feedback in order to identify his mistakes and how to correct them.,1,1,A,8,7.5
"Rajeev is getting a lot of practice, but he should ask an art instructor each day for feedback on how well he drew the day’s portrait",1,1,A,8,6.8
"Currently, Rajeev is not receiving feedback and remedial instruction for his work which are an integral part of deliberate practice.",1,1,A,8.75,8.2
"He is not doing deliberate practice. That is, his practice might not be focused on the part that needs improvement, there is no feedback on his performance from experts.",1,1,A,8,7.3
Because he doesn't have a mentor who diagnoses his problems about painting. He doesn't get immediate feedback and remedial training.,1,1,A,8.75,7.7
He doesn't have a teacher who supervises him and diagnoses his errors.,1,1,A,6,7
"Rajiv may not know the optimal techniques for drawing because of a lack of explicit instruction, he has no supervision in terms of mistakes that he's making and he gets no feedback or remedial training for the components he's weak at.",1,1,A,8,7.1
"Rajeev is not improving because he is not undergoing deliberate practice. He is drawing alone, which means that one of the conditions of deliberate practice is not being met: he is not being supervised by a teacher to diagnose errors.",1,1,A,8,8.1
It might be that there's no informative feedback and remedial training for him to correct his errors and to improve his skill.,1,1,A,6,7.3
"Because he is neither given explicit instruction about the best method, nor supervised by a teacher to diagnose errors and get informative feedback and remedial training. Repeated practice at the same level won't lead to performance.",1,1,A,7.75,6.8
He is not doing deliberate practice. B/c there is no feedback provided.,1,1,A,10,8.3
"To improve quickly, Rajeev needs deliberate practice, which requires feedbacks.",1,1,A,6.75,7
There's no supervision of an external agent so no feedback,1,1,A,7,7.6
Reason could be because he didn't get corrective feedback.,1,1,A,9.75,7.7
because he needs to be supervised by a teacher to diagnose errors,1,1,A,6.75,6.9
Not receiving immediate feedback may make Rajeev not yield an improvement.,1,1,A,4.75,6.7
